,Model_Name,Memory Usage (MB),Number of Parameters,Rank (Borda),Retrieval,Model_Link,Short_Name
0,nvidia/llama-embed-nemotron-8b,28629.0,7000000000.0,1,68.69,https://huggingface.co/nvidia/llama-embed-nemotron-8b,llama-embed-nemotron-8b
1,tencent/KaLM-Embedding-Gemma3-12B-2511,44884.0,11000000000.0,2,75.66,https://kalm-embedding.github.io/,KaLM-Embedding-Gemma3-12B-2511
2,Qwen/Qwen3-Embedding-8B,14433.0,7000000000.0,3,70.88,https://huggingface.co/Qwen/Qwen3-Embedding-8B,Qwen3-Embedding-8B
3,Qwen/Qwen3-Embedding-4B,7671.0,4000000000.0,4,69.6,https://huggingface.co/Qwen/Qwen3-Embedding-4B,Qwen3-Embedding-4B
4,infly/inf-retriever-v1,13483.0,7000000000.0,5,66.48,https://huggingface.co/infly/inf-retriever-v1,inf-retriever-v1
5,jinaai/jina-embeddings-v4,7500.0,3000000000.0,6,66.43,https://huggingface.co/jinaai/jina-embeddings-v4,jina-embeddings-v4
6,Alibaba-NLP/gte-Qwen2-7B-instruct,29040.0,7000000000.0,7,60.08,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct,gte-Qwen2-7B-instruct
7,Linq-AI-Research/Linq-Embed-Mistral,13563.0,7000000000.0,8,58.69,https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral,Linq-Embed-Mistral
8,Alibaba-NLP/gte-Qwen2-1.5B-instruct,6776.0,1000000000.0,9,60.78,https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct,gte-Qwen2-1.5B-instruct
9,Qwen/Qwen3-Embedding-0.6B,1136.0,595000000.0,10,64.65,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,Qwen3-Embedding-0.6B
10,nvidia/NV-Embed-v2,14975.0,7000000000.0,11,56.72,https://huggingface.co/nvidia/NV-Embed-v2,NV-Embed-v2
11,google/embeddinggemma-300m,1155.0,307000000.0,12,62.49,https://ai.google.dev/gemma/docs/embeddinggemma/model_card,embeddinggemma-300m
12,infly/inf-retriever-v1-1.5b,2944.0,1000000000.0,13,62.96,https://huggingface.co/infly/inf-retriever-v1-1.5b,inf-retriever-v1-1.5b
13,parasail-ai/GritLM-7B-vllm,13813.0,7000000000.0,14,58.31,https://huggingface.co/GritLM/GritLM-7B,GritLM-7B
14,Salesforce/SFR-Embedding-Mistral,13563.0,7000000000.0,15,59.44,https://huggingface.co/Salesforce/SFR-Embedding-Mistral,SFR-Embedding-Mistral
15,GritLM/GritLM-8x7B,89079.0,57000000000.0,16,57.54,https://huggingface.co/GritLM/GritLM-8x7B,GritLM-8x7B
16,Salesforce/SFR-Embedding-2_R,13563.0,7000000000.0,17,57.93,https://huggingface.co/Salesforce/SFR-Embedding-2_R,SFR-Embedding-2_R
17,NovaSearch/jasper_en_vision_language_v1,3802.0,1000000000.0,18,55.12,https://huggingface.co/infgrad/jasper_en_vision_language_v1,jasper_en_vision_language_v1
18,nvidia/NV-Embed-v1,14975.0,7000000000.0,19,53.98,https://huggingface.co/nvidia/NV-Embed-v1,NV-Embed-v1
19,intfloat/e5-mistral-7b-instruct,13563.0,7000000000.0,20,55.75,https://huggingface.co/intfloat/e5-mistral-7b-instruct,e5-mistral-7b-instruct
20,intfloat/multilingual-e5-large-instruct,1068.0,560000000.0,21,57.12,https://huggingface.co/intfloat/multilingual-e5-large-instruct,multilingual-e5-large-instruct
21,Snowflake/snowflake-arctic-embed-l-v2.0,2166.0,568000000.0,22,58.36,https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-arctic-embed-l-v2.0
22,NovaSearch/stella_en_1.5B_v5,5887.0,1000000000.0,23,52.84,https://huggingface.co/NovaSearch/stella_en_1.5B_v5,stella_en_1.5B_v5
23,HIT-TMG/KaLM-embedding-multilingual-mini-v1,1885.0,494000000.0,24,54.17,https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1,KaLM-embedding-multilingual-mini-v1
24,Snowflake/snowflake-arctic-embed-m-v2.0,1165.0,305000000.0,25,54.83,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0,snowflake-arctic-embed-m-v2.0
25,OrdalieTech/Solon-embeddings-large-0.1,2136.0,559000000.0,26,55.69,https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1,Solon-embeddings-large-0.1
26,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,1885.0,494000000.0,27,50.84,https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,KaLM-embedding-multilingual-mini-instruct-v1
27,Alibaba-NLP/gte-multilingual-base,582.0,305000000.0,28,57.16,https://huggingface.co/Alibaba-NLP/gte-multilingual-base,gte-multilingual-base
28,Lajavaness/bilingual-embedding-large,2136.0,559000000.0,29,55.1,https://huggingface.co/Lajavaness/bilingual-embedding-large,bilingual-embedding-large
29,intfloat/multilingual-e5-large,2136.0,560000000.0,30,53.67,https://huggingface.co/intfloat/multilingual-e5-large,multilingual-e5-large
30,BAAI/bge-m3,2167.0,568000000.0,31,54.6,https://huggingface.co/BAAI/bge-m3,bge-m3
31,jinaai/jina-embeddings-v3,1092.0,572000000.0,32,55.76,https://huggingface.co/jinaai/jina-embeddings-v3,jina-embeddings-v3
32,ibm-granite/granite-embedding-278m-multilingual,530.0,278000000.0,33,52.2,https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual,granite-embedding-278m-multilingual
33,WhereIsAI/UAE-Large-V1,1278.0,335000000.0,34,41.21,https://huggingface.co/WhereIsAI/UAE-Large-V1,UAE-Large-V1
34,avsolatorio/GIST-large-Embedding-v0,1278.0,335000000.0,35,40.41,https://huggingface.co/avsolatorio/GIST-large-Embedding-v0,GIST-large-Embedding-v0
35,gandolfi/bge-m3-custom-fr-Q4_K_M-GGUF,2166.0,567000000.0,36,53.26,https://huggingface.co/manu/bge-m3-custom-fr,bge-m3-custom-fr
36,intfloat/multilingual-e5-base,1061.0,278000000.0,37,52.72,https://huggingface.co/intfloat/multilingual-e5-base,multilingual-e5-base
37,Snowflake/snowflake-arctic-embed-s,127.0,32000000.0,38,39.84,https://huggingface.co/Snowflake/snowflake-arctic-embed-s,snowflake-arctic-embed-s
38,Snowflake/snowflake-arctic-embed-l-v2.0,1274.0,335000000.0,39,39.66,https://huggingface.co/Snowflake/snowflake-arctic-embed-l,snowflake-arctic-embed-l
39,mixedbread-ai/mxbai-embed-large-v1,639.0,335000000.0,40,40.3,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1,mxbai-embed-large-v1
40,NovaSearch/stella_en_400M_v5,1660.0,435000000.0,41,42.58,https://huggingface.co/NovaSearch/stella_en_400M_v5,stella_en_400M_v5
41,Lajavaness/bilingual-embedding-base,1061.0,278000000.0,42,52.96,https://huggingface.co/Lajavaness/bilingual-embedding-base,bilingual-embedding-base
42,intfloat/e5-large-v2,1278.0,335000000.0,43,40.06,https://huggingface.co/intfloat/e5-large-v2,e5-large-v2
43,nomic-ai/nomic-embed-text-v1-unsupervised,,,44,40.66,https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised,nomic-embed-text-v1-unsupervised
44,nomic-ai/nomic-embed-text-v1-ablated,,,45,40.74,https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated,nomic-embed-text-v1-ablated
45,ibm-granite/granite-embedding-125m-english,238.0,125000000.0,46,39.26,https://huggingface.co/ibm-granite/granite-embedding-125m-english,granite-embedding-125m-english
46,BAAI/bge-large-en-v1.5,1242.0,335000000.0,47,39.0,https://huggingface.co/BAAI/bge-large-en-v1.5,bge-large-en-v1.5
47,Snowflake/snowflake-arctic-embed-m-v1.5,415.0,109000000.0,48,38.69,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5,snowflake-arctic-embed-m-v1.5
48,Snowflake/snowflake-arctic-embed-m-long,522.0,137000000.0,49,39.3,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long,snowflake-arctic-embed-m-long
49,Snowflake/snowflake-arctic-embed-m-v1.5,415.0,109000000.0,50,39.33,https://huggingface.co/Snowflake/snowflake-arctic-embed-m,snowflake-arctic-embed-m
50,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,27126.0,7000000000.0,51,43.07,https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised
51,intfloat/e5-base-v2,418.0,109000000.0,52,40.49,https://huggingface.co/intfloat/e5-base-v2,e5-base-v2
52,Lajavaness/bilingual-embedding-small,449.0,117000000.0,53,49.55,https://huggingface.co/Lajavaness/bilingual-embedding-small,bilingual-embedding-small
53,BAAI/bge-base-en-v1.5,390.0,109000000.0,54,38.61,https://huggingface.co/BAAI/bge-base-en-v1.5,bge-base-en-v1.5
54,bartowski/granite-embedding-107m-multilingual-GGUF,204.0,107000000.0,55,48.08,https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual,granite-embedding-107m-multilingual
55,avsolatorio/GIST-Embedding-v0,418.0,109000000.0,56,38.45,https://huggingface.co/avsolatorio/GIST-Embedding-v0,GIST-Embedding-v0
56,deepvk/USER-bge-m3,1370.0,359000000.0,57,43.3,https://huggingface.co/deepvk/USER-base,USER-bge-m3
57,thenlper/gte-large,639.0,335000000.0,58,38.23,https://huggingface.co/thenlper/gte-large,gte-large
58,intfloat/multilingual-e5-large,1278.0,335000000.0,59,38.5,https://huggingface.co/intfloat/e5-large,e5-large
59,intfloat/e5-small-v2,127.0,33000000.0,60,39.38,https://huggingface.co/intfloat/e5-small-v2,e5-small-v2
60,avsolatorio/GIST-small-Embedding-v0,127.0,33000000.0,61,37.22,https://huggingface.co/avsolatorio/GIST-small-Embedding-v0,GIST-small-Embedding-v0
61,intfloat/multilingual-e5-small,449.0,118000000.0,62,49.38,https://huggingface.co/intfloat/multilingual-e5-small,multilingual-e5-small
62,avsolatorio/NoInstruct-small-Embedding-v0,127.0,33000000.0,63,37.81,https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0,NoInstruct-small-Embedding-v0
63,BAAI/bge-small-en-v1.5,127.0,33000000.0,64,36.26,https://huggingface.co/BAAI/bge-small-en-v1.5,bge-small-en-v1.5
64,abhinand/MedEmbed-small-v0.1,127.0,33000000.0,65,35.16,https://huggingface.co/abhinand/MedEmbed-small-v0.1,MedEmbed-small-v0.1
65,ibm-granite/granite-embedding-30m-english,58.0,30000000.0,66,36.43,https://huggingface.co/ibm-granite/granite-embedding-30m-english,granite-embedding-30m-english
66,manu/sentence_croissant_alpha_v0.4,2441.0,1000000000.0,67,38.35,https://huggingface.co/manu/sentence_croissant_alpha_v0.4,sentence_croissant_alpha_v0.4
68,AIDA-UPM/mstsb-paraphrase-multilingual-mpnet-base-v2,1061.0,278000000.0,69,39.76,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2
69,thenlper/gte-small,64.0,33000000.0,70,35.99,https://huggingface.co/thenlper/gte-small,gte-small
70,thenlper/gte-base,209.0,109000000.0,71,35.86,https://huggingface.co/thenlper/gte-base,gte-base
71,manu/sentence_croissant_alpha_v0.3,2441.0,1000000000.0,72,37.27,https://huggingface.co/manu/sentence_croissant_alpha_v0.3,sentence_croissant_alpha_v0.3
72,intfloat/multilingual-e5-base,418.0,109000000.0,73,37.69,https://huggingface.co/intfloat/e5-base,e5-base
