model_name,num_params,map_reranking_5,map_reranking_10,map_reranking_15,map_reranking_20,map_reranking_25
cross-encoder/qnli-distilroberta-base,82119683,0.537849517947075,0.5340839276235968,0.5178521356937719,0.4991499973922571,0.4847690958733988
Jsevisal/CrossEncoder-ModernBERT-base-qnli,149606402,0.5418620192334176,0.5339719978788033,0.515450056305963,0.4963271483365625,0.4818212232108312
compnet-renard/bert-base-cased-NER-reranker,108312322,0.539572957663092,0.5323425525110235,0.5053454228366951,0.4843305959059257,0.4648167028076386
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,117641603,0.5292898168497892,0.5295593471328723,0.521539290800901,0.518483337740019,0.5149108243824272
malaysia-ai/malaysian-llm2vec-reranker-191M-16384,166160640,0.5378189494553834,0.5283341231892739,0.5094931418227892,0.4905683437505737,0.4750858045921762
michaelfeil/mxbai-rerank-base-v2-seq,494034560,0.5312927058255291,0.5219930263464129,0.5052549862171366,0.4880425655904329,0.4755929320192746
AhmedMostafa/bge-reranker-v2-gemma-saudi-achi10,2506176512,0.5344596389925855,0.5198054108346897,0.49408307352337894,0.468783960545156,0.4496986969228492
noooop9527/Qwen3-Reranker-0.6B-seq-cls-STv6,595777536,0.5225980750846303,0.5190433980437558,0.49533336267763367,0.4734979866362429,0.4542823642594557
tomaarsen/Qwen3-Reranker-0.6B-seq-cls,595777536,0.5225980750846303,0.5190433980437558,0.49533336267763367,0.4734979866362429,0.4542823642594557
sdadas/polish-reranker-base-mse,124443649,0.5179893466138789,0.5150485544026283,0.5090706293543409,0.50329807841545,0.4997460121930382
