,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Reranking
0,1,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),100%,28629.0,7.505,4096.0,32768.0,67.78,67.78,67.78
1,2,[KaLM-Embedding-Gemma3-12B-2511](https://kalm-embedding.github.io/),100%,44884.0,11.76,3840.0,32768.0,67.27,67.27,67.27
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),100%,14433.0,7.567,4096.0,32768.0,65.63,65.63,65.63
3,4,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040.0,7.613,3584.0,32768.0,65.55,65.55,65.55
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),100%,7671.0,4.022,2560.0,32768.0,65.08,65.08,65.08
5,5,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),100%,14975.0,7.85,4096.0,32768.0,63.82,63.82,63.82
6,7,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),100%,14975.0,7.85,4096.0,32768.0,64.29,64.29,64.29
7,7,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),100%,13563.0,7.11,4096.0,32768.0,64.37,64.37,64.37
8,9,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),100%,13563.0,7.11,4096.0,32768.0,64.19,64.19,64.19
9,10,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),100%,1155.0,0.308,768.0,2048.0,63.25,63.25,63.25
10,10,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),100%,13563.0,7.111,4096.0,32768.0,63.82,63.82,63.82
11,12,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),100%,13563.0,7.11,4096.0,32768.0,63.04,63.04,63.04
12,13,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),100%,2166.0,0.568,1024.0,8192.0,63.67,63.67,63.67
13,14,[bge-m3](https://huggingface.co/BAAI/bge-m3),83%,2167.0,0.568,1024.0,8194.0,62.79,62.79,62.79
14,15,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),100%,1136.0,0.596,1024.0,32768.0,61.41,61.41,61.41
15,15,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),100%,1068.0,0.56,1024.0,514.0,62.61,62.61,62.61
16,17,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),100%,1165.0,0.305,768.0,8192.0,61.67,61.67,61.67
17,18,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),100%,5887.0,1.54,8960.0,131072.0,61.37,61.37,61.37
18,19,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),100%,449.0,0.118,384.0,512.0,60.43,60.43,60.43
19,20,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),83%,530.0,0.278,768.0,512.0,59.89,59.89,59.89
