model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100
jinaai/jina-embeddings-v2-base-es,160850688,multilingual,0.3841041780526188,0.5607207207207208,0.7089825566800513,0.6227027027027028,0.5881081081081081,0.2156756756756757
hiiamsid/sentence_similarity_spanish_es,109850880,monolingual,0.3599499496198577,0.5436444848209554,0.6966323130705225,0.614054054054054,0.5713513513513513,0.20956756756756756
hackathon-pln-es/paraphrase-spanish-distilroberta,124645632,monolingual,0.30665619670400934,0.5065100523487122,0.6442252244482972,0.5178378378378379,0.4897297297297297,0.1939459459459459
jaimevera1107/all-MiniLM-L6-v2-similarity-es,22713216,monolingual,0.29855936465726507,0.5377220077220077,0.6378966922746233,0.5881081081081082,0.5518918918918918,0.16443243243243247
dccuchile/distilbert-base-spanish-uncased,66731520,monolingual,0.2114569182675654,0.49012662392347195,0.5893079910732331,0.4789189189189189,0.41297297297297303,0.1371891891891892
dccuchile/albert-base-4-spanish,11811584,monolingual,0.21065031669672632,0.49648822276234467,0.5913875964379414,0.4540540540540541,0.4064864864864865,0.14232432432432435
dccuchile/albert-base-2-spanish,11811584,monolingual,0.21009586698543717,0.5101436096721217,0.5925055328204425,0.4583783783783784,0.4070270270270271,0.14200000000000002
dccuchile/patana-chilean-spanish-bert,109850880,monolingual,0.20936791713634995,0.49710507272260523,0.589338731501419,0.4637837837837838,0.4048648648648649,0.1365945945945946
dccuchile/tulio-chilean-spanish-bert,109850880,monolingual,0.19976494643334367,0.4745748112547792,0.5776989184295799,0.44540540540540546,0.3654054054054054,0.13205405405405404
PlanTL-GOB-ES/roberta-base-es-wikicat-es,124643328,monolingual,0.1959485475189648,0.46697432755432106,0.5689251233967888,0.4075675675675676,0.3567567567567568,0.13535135135135135
dccuchile/bert-base-spanish-wwm-cased,109850880,monolingual,0.1911962117759876,0.4915160115410887,0.5732976716995666,0.4540540540540541,0.374054054054054,0.12935135135135134
dccuchile/albert-base-2-spanish-distilled-mldoc,11811584,monolingual,0.18263889684092022,0.48473722443083433,0.5641554014069261,0.4648648648648649,0.385945945945946,0.1251891891891892
dccuchile/albert-base-6-spanish,11811584,monolingual,0.1778970057445046,0.4808354656550834,0.5620880988847559,0.4367567567567567,0.37243243243243246,0.12194594594594596
dccuchile/albert-base-2-spanish-distilled-qa-sqac,11811584,monolingual,0.1659712803633704,0.502844603591738,0.5506349449690138,0.4713513513513514,0.3940540540540541,0.1070810810810811
PlanTL-GOB-ES/Controversy-Prediction,124643328,monolingual,0.16378135401930877,0.45819103650036713,0.5374382505547051,0.3935135135135136,0.3567567567567568,0.10659459459459461
dccuchile/albert-base-4-spanish-distilled-xnli,11811584,monolingual,0.15258212501964805,0.4806593746612663,0.5380472087999681,0.4464864864864865,0.35783783783783785,0.10432432432432433
dccuchile/bert-base-spanish-wwm-uncased,109850880,monolingual,0.15215082706832866,0.4756288361726203,0.5394137731123839,0.40972972972972976,0.33675675675675676,0.10875675675675676
dccuchile/albert-tiny-spanish-distilled-mldoc,5344136,monolingual,0.15208177971916126,0.46531924613745124,0.5408104188845295,0.40864864864864864,0.35729729729729726,0.11086486486486485
dccuchile/albert-base-2-spanish-distilled-xnli,11811584,monolingual,0.15195867801864676,0.48375215940287447,0.539719546202573,0.425945945945946,0.35945945945945945,0.10643243243243244
PlanTL-GOB-ES/bsc-bio-ehr-es-cantemist,124643328,monolingual,0.1468732499384191,0.45479237000441564,0.5311663291456108,0.39567567567567574,0.34216216216216216,0.10756756756756757
dccuchile/albert-base-6-spanish-distilled-xnli,11811584,monolingual,0.14636553893076856,0.5007584668620528,0.5386313797758792,0.3967567567567568,0.32972972972972975,0.10794594594594593
dccuchile/albert-base-2-spanish-distilled-ner,11811584,monolingual,0.1441454313361244,0.4760798012369554,0.5335315797156612,0.3827027027027028,0.32810810810810814,0.10643243243243242
dccuchile/albert-tiny-spanish,5344136,monolingual,0.142804419711043,0.47422900461241874,0.5364666319063763,0.387027027027027,0.32162162162162167,0.10913513513513516
bertin-project/bertin-roberta-base-spanish,124643328,multilingual,0.14152509647748684,0.4679798685956694,0.5263600013345464,0.4086486486486487,0.3248648648648648,0.0996756756756757
dccuchile/albert-base-2-spanish-distilled-pawsx,11811584,monolingual,0.1409963088098311,0.4744401630251392,0.5251813933936053,0.3935135135135136,0.30972972972972973,0.09989189189189192
dccuchile/albert-base-6-spanish-distilled-mldoc,11811584,monolingual,0.13978681113786715,0.46353269151080373,0.5246405297491632,0.41729729729729736,0.34648648648648644,0.10205405405405407
PlanTL-GOB-ES/bsc-bio-es,124643328,monolingual,0.137839261742568,0.4446528584992831,0.5177095838068124,0.3794594594594594,0.3162162162162162,0.09556756756756757
dccuchile/albert-base-8-spanish-distilled-xnli,11811584,monolingual,0.13766253921549088,0.4884225767990957,0.5293680430778642,0.3827027027027028,0.31567567567567567,0.1032972972972973
dccuchile/albert-base-2-spanish-distilled-pos,11811584,monolingual,0.1376337777337768,0.4792475008229386,0.5245027761050506,0.371891891891892,0.31891891891891894,0.09935135135135137
dccuchile/albert-base-8-spanish,11811584,monolingual,0.13710767536253574,0.46938014776292153,0.5235372911478113,0.3891891891891892,0.32972972972972975,0.09632432432432432
jfarray/Model_dccuchile_bert-base-spanish-wwm-uncased_100_Epochs,110047744,monolingual,0.13512286902276388,0.4640374175947141,0.521685643889965,0.3837837837837838,0.31513513513513514,0.09891891891891892
dccuchile/albert-base-4-spanish-distilled-mldoc,11811584,monolingual,0.1334465824771294,0.47585351298662953,0.5206604981840347,0.4118918918918919,0.327027027027027,0.094
PlanTL-GOB-ES/bsc-bio-ehr-es-pharmaconer,124643328,monolingual,0.129205217966488,0.4383805223224362,0.5143907241423488,0.3675675675675676,0.31891891891891894,0.0964864864864865
dccuchile/albert-base-4-spanish-distilled-pawsx,11811584,monolingual,0.12754343152541808,0.4808709050665749,0.5164856268129422,0.38162162162162167,0.32540540540540547,0.09259459459459461
dccuchile/albert-base-2-spanish-distilled-qa-mlqa,11811584,monolingual,0.1274676801548461,0.4686703047934148,0.5156146362831183,0.3902702702702703,0.3124324324324324,0.0945945945945946
PlanTL-GOB-ES/roberta-base-ca,125978112,multilingual,0.12643592512185842,0.4561500895121391,0.5115907204197285,0.36000000000000004,0.2978378378378378,0.10313513513513513
PlanTL-GOB-ES/bsc-bio-ehr-es,124643328,monolingual,0.1212920793721237,0.4232402761263328,0.5009127915571905,0.34378378378378377,0.29081081081081084,0.0891891891891892
dccuchile/albert-base-2-spanish-distilled-qa-tar,11811584,monolingual,0.12120452970598111,0.4596018134782683,0.5065604650321502,0.3772972972972974,0.3075675675675676,0.09313513513513513
dccuchile/albert-base-4-spanish-distilled-pos,11811584,monolingual,0.11978219629651807,0.473390185602245,0.504987285980013,0.36324324324324325,0.2967567567567568,0.08686486486486486
dccuchile/albert-base-10-spanish-distilled-xnli,11811584,monolingual,0.11643214947182334,0.4754404895850151,0.5054793559197214,0.372972972972973,0.3032432432432433,0.08600000000000001
dccuchile/albert-xlarge-spanish,58852864,monolingual,0.1153582194731257,0.43258244262915724,0.49376301275229395,0.3178378378378378,0.27135135135135136,0.08491891891891892
dccuchile/albert-base-8-spanish-distilled-mldoc,11811584,monolingual,0.11340349947883521,0.43803959556676214,0.49918483635256883,0.34594594594594597,0.2870270270270271,0.08502702702702702
dccuchile/albert-tiny-spanish-distilled-pos,5344136,monolingual,0.11231597874473229,0.45930249822499036,0.4976569857801746,0.34270270270270276,0.27837837837837837,0.08713513513513514
dccuchile/albert-tiny-spanish-distilled-pawsx,5344136,monolingual,0.11064674205835544,0.45501907707410244,0.50248999541779,0.33729729729729735,0.26000000000000006,0.08691891891891892
dccuchile/albert-base-10-spanish-distilled-mldoc,11811584,monolingual,0.11031363438582972,0.4495490866598556,0.4951207862510441,0.34702702702702704,0.2745945945945946,0.08064864864864865
dccuchile/albert-tiny-spanish-distilled-qa-sqac,5344136,monolingual,0.10843445043652697,0.4546619043453917,0.495432865499069,0.35459459459459464,0.2875675675675676,0.07935135135135137
dccuchile/albert-base-4-spanish-distilled-qa-sqac,11811584,monolingual,0.10684218644402181,0.45615494124870465,0.4944613820386494,0.33945945945945954,0.28,0.0834054054054054
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,125978112,monolingual,0.10664494176150854,0.40874602954808403,0.48297406496515877,0.3221621621621622,0.25027027027027027,0.07421621621621621
PlanTL-GOB-ES/RoBERTalex,125978112,monolingual,0.10608158764057359,0.40540125035542307,0.48009290722136405,0.3027027027027027,0.23783783783783785,0.07124324324324324
dccuchile/albert-base-spanish-distilled-xnli,11811584,monolingual,0.10587487052196208,0.46851751570721345,0.4928350321703905,0.37081081081081085,0.27999999999999997,0.0758918918918919
