model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100,source
shtilev/medical_embedded_v4,278043648,multilingual,0.4264564314683711,0.5459459459459459,0.7226659466059668,0.6475675675675676,0.6264864864864864,0.2309189189189189,hugging_face
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,278043648,multilingual,0.4169084557578367,0.5518918918918918,0.7195010366210974,0.64,0.6021621621621622,0.226,hugging_face
Alibaba-NLP/gte-multilingual-base,305368320,multilingual,0.415535754620837,0.5414414414414414,0.7224811953786576,0.6270270270270271,0.6145945945945945,0.2260540540540541,hugging_face
shtilev/medical_embedded_v5,278043648,multilingual,0.4116968399864876,0.5441441441441441,0.7148260199921602,0.6367567567567568,0.6102702702702703,0.2248108108108107,hugging_face
upskyy/e5-large-korean,559890432,multilingual,0.4058348518233109,0.5461261261261261,0.7197597587077642,0.6227027027027027,0.614054054054054,0.2254594594594594,hugging_face
upskyy/gte-base-korean,305368320,multilingual,0.4017870805852654,0.563063063063063,0.7179503779799524,0.6270270270270271,0.6016216216216217,0.2215135135135135,hugging_face
upskyy/e5-base-korean,278043648,multilingual,0.3952511754612431,0.540990990990991,0.7130114595264884,0.6345945945945946,0.6102702702702703,0.2196756756756756,hugging_face
ibm-granite/granite-embedding-278m-multilingual,278043648,multilingual,0.3921198589504559,0.5512226512226512,0.712322700557884,0.6162162162162163,0.598918918918919,0.2162162162162162,hugging_face
OneFly7/biencoder_ep10_bs64_trans1,278043648,multilingual,0.3901088059810576,0.5573873873873874,0.7061165080403433,0.6151351351351351,0.5735135135135134,0.2173513513513513,hugging_face
shtilev/medical_embedded_v3,278043648,multilingual,0.3875368644627207,0.5526126126126126,0.7030499774114715,0.6194594594594595,0.5843243243243242,0.2183243243243243,hugging_face
OneFly7/bi_bs32_lr2e5_cosine_restart_period2_best,278043648,multilingual,0.3847001397925638,0.5491891891891891,0.700359153120465,0.6162162162162163,0.5897297297297298,0.2133513513513514,hugging_face
jinaai/jina-embeddings-v2-base-es,160850688,multilingual,0.3841041780526188,0.5607207207207208,0.7089825566800513,0.6227027027027028,0.5881081081081081,0.2156756756756757,spanish
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,117653760,multilingual,0.3765598055723886,0.5419369369369369,0.6978573055681501,0.6075675675675675,0.572972972972973,0.2117837837837838,mteb
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,117653760,multilingual,0.3765598055723886,0.5419369369369369,0.6978573055681501,0.6075675675675675,0.572972972972973,0.2117837837837838,hugging_face
tomaarsen/distiluse-base-multilingual-cased-v2,134734080,multilingual,0.3748990995911481,0.547131341868184,0.6985238457113881,0.6259459459459459,0.585945945945946,0.2011351351351351,hugging_face
OneFly7/biencoder_ep2_bs32_trans3,278043648,multilingual,0.3699829031150201,0.5480855855855855,0.692253485859969,0.6248648648648648,0.5762162162162162,0.2059459459459459,hugging_face
upskyy/bge-m3-korean,567754752,multilingual,0.3692363800683446,0.5443243243243243,0.6963240252658063,0.6086486486486486,0.587027027027027,0.2028648648648648,hugging_face
lang-uk/ukr-paraphrase-multilingual-mpnet-base,278043648,multilingual,0.3692045169393242,0.5389811690931093,0.6909008312209179,0.5945945945945946,0.5681081081081081,0.2088108108108108,hugging_face
Griffin88/sentence-embedding-LaBSE,471517440,multilingual,0.3660814987408783,0.5484298584298584,0.6959119155197627,0.6,0.5627027027027026,0.2097297297297297,hugging_face
OneFly7/biencoder_ep10_bs32_lr2e5_cosine_annealing_hard_neg_2,278043648,multilingual,0.3642433313267453,0.5522522522522522,0.6892318592898682,0.6097297297297297,0.5637837837837838,0.2085945945945946,hugging_face
OneFly7/biencoder_ep10_bs64_trans3,278043648,multilingual,0.3613389027694583,0.5397447447447448,0.6873903702247768,0.598918918918919,0.5627027027027026,0.2029189189189189,hugging_face
hiiamsid/sentence_similarity_spanish_es,109850880,monolingual,0.3600813311225695,0.53823907941555,0.6966688373236891,0.6162162162162163,0.5713513513513513,0.2095675675675675,hugging_face
manu/sentence_croissant_alpha_v0.3,1279887360,multilingual,0.3600582655043,0.5352852852852853,0.6882806109592794,0.6075675675675676,0.5643243243243243,0.2011891891891891,mteb
hiiamsid/sentence_similarity_spanish_es,109850880,monolingual,0.3599499496198577,0.5436444848209554,0.6966323130705225,0.614054054054054,0.5713513513513513,0.2095675675675675,spanish
OneFly7/biencoder_ep10_bs64_all,278043648,multilingual,0.3591787097203664,0.5417631917631918,0.6860182771108929,0.5956756756756757,0.5632432432432432,0.2024864864864864,hugging_face
DmitryML/distiluse-base-multilingual-cased-v1,135127808,multilingual,0.3549136818697552,0.5463722651222651,0.6841845685792328,0.5881081081081082,0.5637837837837838,0.2002162162162162,hugging_face
upskyy/e5-small-korean,117653760,multilingual,0.3544796673038624,0.5454954954954955,0.6895973952185913,0.6086486486486486,0.581081081081081,0.1984864864864864,hugging_face
infly/inf-retriever-v1-1.5b,1543268864,multilingual,0.3473562646522027,0.5578378378378378,0.6876677318834548,0.6118918918918919,0.572972972972973,0.197027027027027,mteb
emersoftware/tulio-chilean-spanish-bert-finetuned-msmarco-qa-es,109850880,monolingual,0.3470578091728032,0.5421218452252935,0.6848687053311463,0.6,0.5583783783783783,0.2024324324324324,hugging_face
OneFly7/biencoder_ep10_bs32_lr2e5_cosine_annealing_hard_neg_1,278043648,multilingual,0.3458708854151326,0.538018018018018,0.6785392598321853,0.5913513513513514,0.5535135135135135,0.1952432432432432,hugging_face
manu/sentence_croissant_alpha_v0.4,1279887360,multilingual,0.3435741411640083,0.5288738738738739,0.6767138497363798,0.5978378378378378,0.5416216216216215,0.194108108108108,mteb
