model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100
shtilev/medical_embedded_v4,278043648,multilingual,0.4264564314683711,0.5459459459459459,0.7226659466059668,0.6475675675675676,0.6264864864864864,0.2309189189189189
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,278043648,multilingual,0.4169084557578367,0.5518918918918918,0.7195010366210974,0.64,0.6021621621621622,0.226
Alibaba-NLP/gte-multilingual-base,305368320,multilingual,0.415535754620837,0.5414414414414414,0.7224811953786576,0.6270270270270271,0.6145945945945945,0.2260540540540541
shtilev/medical_embedded_v5,278043648,multilingual,0.4116968399864876,0.5441441441441441,0.7148260199921602,0.6367567567567568,0.6102702702702703,0.2248108108108107
upskyy/e5-large-korean,559890432,multilingual,0.4058348518233109,0.5461261261261261,0.7197597587077642,0.6227027027027027,0.614054054054054,0.2254594594594594
upskyy/gte-base-korean,305368320,multilingual,0.4017870805852654,0.563063063063063,0.7179503779799524,0.6270270270270271,0.6016216216216217,0.2215135135135135
upskyy/e5-base-korean,278043648,multilingual,0.3952511754612431,0.540990990990991,0.7130114595264884,0.6345945945945946,0.6102702702702703,0.2196756756756756
ibm-granite/granite-embedding-278m-multilingual,278043648,multilingual,0.3921198589504559,0.5512226512226512,0.712322700557884,0.6162162162162163,0.598918918918919,0.2162162162162162
OneFly7/biencoder_ep10_bs64_trans1,278043648,multilingual,0.3901088059810576,0.5573873873873874,0.7061165080403433,0.6151351351351351,0.5735135135135134,0.2173513513513513
shtilev/medical_embedded_v3,278043648,multilingual,0.3875368644627207,0.5526126126126126,0.7030499774114715,0.6194594594594595,0.5843243243243242,0.2183243243243243
OneFly7/bi_bs32_lr2e5_cosine_restart_period2_best,278043648,multilingual,0.3847001397925638,0.5491891891891891,0.700359153120465,0.6162162162162163,0.5897297297297298,0.2133513513513514
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,117653760,multilingual,0.3765598055723886,0.5419369369369369,0.6978573055681501,0.6075675675675675,0.572972972972973,0.2117837837837838
tomaarsen/distiluse-base-multilingual-cased-v2,134734080,multilingual,0.3748990995911481,0.547131341868184,0.6985238457113881,0.6259459459459459,0.585945945945946,0.2011351351351351
OneFly7/biencoder_ep2_bs32_trans3,278043648,multilingual,0.3699829031150201,0.5480855855855855,0.692253485859969,0.6248648648648648,0.5762162162162162,0.2059459459459459
upskyy/bge-m3-korean,567754752,multilingual,0.3692363800683446,0.5443243243243243,0.6963240252658063,0.6086486486486486,0.587027027027027,0.2028648648648648
lang-uk/ukr-paraphrase-multilingual-mpnet-base,278043648,multilingual,0.3692045169393242,0.5389811690931093,0.6909008312209179,0.5945945945945946,0.5681081081081081,0.2088108108108108
Griffin88/sentence-embedding-LaBSE,471517440,multilingual,0.3660814987408783,0.5484298584298584,0.6959119155197627,0.6,0.5627027027027026,0.2097297297297297
OneFly7/biencoder_ep10_bs32_lr2e5_cosine_annealing_hard_neg_2,278043648,multilingual,0.3642433313267453,0.5522522522522522,0.6892318592898682,0.6097297297297297,0.5637837837837838,0.2085945945945946
